NombreMedio,CódigoMedio,Amplitud,PropiedadLegal,NumArticulos2017,FollowersInicio2017,FollowersFin2017
HoyxHoy,hoyxhoycl,N,El Mercurio S.A.P.,4920,82201,83193
Radio Duna,RadioDuna,N,Grupo Copesa,13450,77742,82363
Zero,radiozero977,N,Grupo Copesa,7366,75272,80399
Revista Capital,revistacapital,N,Grupo Claro,2757,74368,80101
Radio Villa Francia,rvfradiopopular,N,Centro Cultural de Comunicación y Educación Radiofónica ''Chasqui'',1323,68909,79900
Chilevisión Noticias,chv_noticias,N,Time Warner,17961,50192,77309
El desconcierto,eldesconcierto,N,Ediciones y Publicaciones El Buen Aire S.A.,14708,46187,74403
Estado Nacional,estadonacional ,N,Estado Chileno,78,63530,68410
Emol TV ,EmolTV,N,El Mercurio S.A.P.,4415,65852,67772
Radio Paloma  Talca,RADIOPALOMAFM,L,Núcleo de emisoras Paloma,1781,57662,67531
Red Mi Voz,RedMiVoz,N,Grupo Mi Voz Red de Diarios Ciudadanos,25910,65432,67071
Radio Agricultura,AgriculturaFM,N,Sociedad Nacional de Agricultura,9141,55697,65861
Diario Pulso,pulso_tw,N,Grupo Copesa,15946,53630,64516
Diario Estrategia,Estrategiacl,N,Editorial Gestion,376,55635,61664
La Estrella de Valparaiso ,laestrellavalpo,L,El Mercurio S.A.P,9352,46281,61280
TV Chile TVN ,TVChileTVN,N,Estado Chileno,110,49603,55816
El Conquistador,FMConquistador,N,Comunicaciones C Y V S A ,1328,53033,55301
Prensa Opal Chile,prensaopal ,N,opal press,769,42437,53500
Revista Cosas Chile,RevistaCosas,N,Editorial Tiempo Presente Ltda.,1458,51233,52971
El Líbero,elliberocl,N,Sociedad Periodistica El Libero S.A.,7284,42017,50472
Ferplei,Ferplei,N,Betazeta Networks S.A.,11723,49173,49410
Economia y Negocios  El Mercurio,EYN_ELMERCURIO,N,El Mercurio S.A.P.,5015,36325,45979
Araucania News,araucanianews,L,Araucanía Noticias,6447,35003,45341
Araucania Televisión ,Araucaniatv,L,AraucaníaTV,0,45062,45230
Red Maule,RedMaule,L,Merelec SpA ,1494,40592,44830
Radio La Clave ,radiolaclave,N,Miguel Nasur,7659,33082,42733
Maule Noticias,MauleNoticias,L,N.E,992,36158,41294
El Periodista,ElPeriodista,N,El Periodista S.A,1076,39886,40308
